pairblock,pair,block,water.yr,ecosite,plot,x,y,wspg,c3pg,forb,total.mass,wyr.ppt,f.ppt,cs.ppt,gs.ppt,sp.ppt,lag.wyr,lag.f,lag.cs,lag.gs,lag2.f,lag2.cs,lag2.gs,lag.mass,total.mass.dm,wspg.dm,c3pg.dm,forb.dm
1_3,1,3,2018,Loamy,1,521654.5,4517675,216.08375,124.7275,167.04375,673.14875,300.8082706,86.86360325,53.34,160.6046674,159.723307,296.539084,44.25111641,55.88,196.4079676,57.82159538,106.3160984,106.3160984,1135.05375,-400.1218182,-354.0335227,31.96022727,-89.89863636
1_3,1,3,2019,Loamy,1,521654.5,4517675,379.6625,125.715,381.89625,1039.37625,339.1809203,12.97220919,88.81329634,237.3954148,281.3431044,300.8082706,86.86360325,53.34,160.6046674,44.25111641,196.4079676,196.4079676,673.14875,-33.89431818,-190.4547727,32.94772727,124.9538636
1_3,1,3,2020,Loamy,1,521654.5,4517675,246.47375,22.48375,12.8225,293.755,307.48487,42.25844431,78.50406391,186.7223617,193.6142311,339.1809203,12.97220919,88.81329634,237.3954148,86.86360325,160.6046674,160.6046674,1039.37625,-779.5155682,-323.6435227,-70.28352273,-244.1198864
1_3,1,3,2021,Loamy,1,521654.5,4517675,1100.76375,70.00625,255.15125,1776.6625,421.929983,26.50986381,115.9279972,279.492122,312.133742,307.48487,42.25844431,78.50406391,186.7223617,12.97220919,237.3954148,237.3954148,293.755,703.3919318,530.6464773,-22.76102273,-1.791136364
1_3,1,3,2022,Loamy,1,521654.5,4517675,273.45,13.83875,10.6225,297.91125,236.7670522,53.05030424,66.08967674,117.6270712,92.78496496,421.929983,26.50986381,115.9279972,279.492122,42.25844431,186.7223617,186.7223617,1776.6625,-775.3593182,-296.6672727,-78.92852273,-246.3198864
1_3,1,3,2023,Loamy,1,521654.5,4517675,1866.35,245.29,145.285,2292.10375,373.8206048,36.59156484,48.514,288.7150399,230.0277902,236.7670522,53.05030424,66.08967674,117.6270712,26.50986381,279.492122,279.492122,297.91125,1218.833182,1296.232727,152.5227273,-111.6573864
1_4,1,4,2013,Loamy,1,523697.5,4517575,321.775,86.17875,21.99875,474.48875,246.6532358,68.26369959,26.416,151.9735362,115.8922137,203.3581358,79.02447887,18.288,106.0456569,7.260457053,204.622321,204.622321,NA,-368.1692424,-216.7143182,-39.23594697,-37.91356061
1_4,1,4,2014,Loamy,1,523697.5,4517575,349.8275,21.99875,165.42875,768.67875,489.4657628,184.7593528,76.2,228.50641,156.8470707,246.6532358,68.26369959,26.416,151.9735362,79.02447887,106.0456569,106.0456569,474.48875,-73.97924242,-188.6618182,-103.415947,105.5164394
1_4,1,4,2015,Loamy,1,523697.5,4517575,857.0775,79.0475,141.2075,1168.5575,398.2410462,78.30905706,60.198,259.7339891,233.3999836,489.4657628,184.7593528,76.2,228.50641,68.26369959,151.9735362,151.9735362,768.67875,325.8995076,318.5881818,-46.36719697,81.29518939
1_4,1,4,2016,Loamy,1,523697.5,4517575,514.98625,135.9616667,5.807916667,944.0179167,232.7256114,57.51960871,71.374,103.8320027,106.5023756,398.2410462,78.30905706,60.198,259.7339891,184.7593528,228.50641,228.50641,1168.5575,101.3599242,-23.50306818,10.5469697,-54.10439394
1_4,1,4,2017,Loamy,1,523697.5,4517575,528.2375,172.89375,53.07875,756.71875,297.1643602,51.85823697,55.88,189.4261233,150.5629818,232.7256114,57.51960871,71.374,103.8320027,78.30905706,259.7339891,259.7339891,944.0179167,-85.93924242,-10.25181818,47.47905303,-6.833560606
1_4,1,4,2018,Loamy,1,523697.5,4517575,210.09875,61.82625,3.96875,403.11125,292.9937013,81.84152919,53.34,157.8121722,157.4295051,297.1643602,51.85823697,55.88,189.4261233,57.51960871,103.8320027,103.8320027,756.71875,-439.5467424,-328.3905682,-63.58844697,-55.94356061
1_4,1,4,2019,Loamy,1,523697.5,4517575,589.78625,129.2125,142.76875,970.2,331.6601696,14.8248895,91.21718774,225.6180923,275.5485284,292.9937013,81.84152919,53.34,157.8121722,51.85823697,189.4261233,189.4261233,403.11125,127.5420076,51.29693182,3.79780303,82.85643939
1_4,1,4,2020,Loamy,1,523697.5,4517575,135.6725,54.49875,0.88125,191.0525,272.8037283,43.86876687,81.93437483,147.0005866,179.0479094,331.6601696,14.8248895,91.21718774,225.6180923,81.84152919,157.8121722,157.8121722,970.2,-651.6054924,-402.8168182,-70.91594697,-59.03106061
1_4,1,4,2021,Loamy,1,523697.5,4517575,935.08125,398.6875,6.6275,1747.5475,455.5627552,30.76960998,113.1878523,311.6052929,343.0365448,272.8037283,43.86876687,81.93437483,147.0005866,14.8248895,225.6180923,225.6180923,191.0525,904.8895076,396.5919318,273.272803,-53.28481061
1_4,1,4,2022,Loamy,1,523697.5,4517575,337.32125,51.97,2.16625,393.13375,289.8722995,56.3882079,68.21139013,165.2727015,115.2909347,455.5627552,30.76960998,113.1878523,311.6052929,43.86876687,147.0005866,147.0005866,1747.5475,-449.5242424,-201.1680682,-73.44469697,-57.74606061
1_4,1,4,2023,Loamy,1,523697.5,4517575,1143.51875,187.28625,115.10125,1451.73125,400.4125824,46.40911598,48.514,305.4894664,244.4639643,289.8722995,56.3882079,68.21139013,165.2727015,30.76960998,311.6052929,311.6052929,393.13375,609.0732576,605.0294318,61.87155303,55.18893939
1_5,1,5,2013,Loamy,1,524788,4516050,398.26375,148.14,68.15,614.55375,250.465094,69.47036336,26.416,154.5787306,115.533606,204.4941105,78.75898886,18.288,107.4471217,8.298952567,217.6998158,217.6998158,NA,-339.0957955,-130.9114773,50.41840909,-107.0914773
1_5,1,5,2014,Loamy,1,524788,4516050,385.14375,187.965,110.3975,980.4575,470.1996266,172.3732081,76.2,221.6264185,145.0952382,250.465094,69.47036336,26.416,154.5787306,78.75898886,107.4471217,107.4471217,614.55375,26.80795455,-144.0314773,90.24340909,-64.84397727
1_5,1,5,2015,Loamy,1,524788,4516050,1065.36,129.16625,118.605,1542.74,392.0360631,71.97917932,60.198,259.8588838,228.2177269,470.1996266,172.3732081,76.2,221.6264185,69.47036336,154.5787306,154.5787306,980.4575,589.0904545,536.1847727,31.44465909,-56.63647727
1_5,1,5,2016,Loamy,1,524788,4516050,414.47875,57.65375,16.4825,732.015,222.341613,54.69966056,71.374,96.26795245,101.6884284,392.0360631,71.97917932,60.198,259.8588838,172.3732081,221.6264185,221.6264185,1542.74,-221.6345455,-114.6964773,-40.06784091,-158.7589773
