"","id","year","month","month.ppt","water.yr"
"264","11NS",2017,10,19.5580005645752,NA
"265","11NS",2018,10,NA,NA
"266","11NS",2018,10,8.61029032657021,NA
"267","11NS",2018,11,4.1633139409517,NA
"268","11NS",2018,12,2.76522182163439,NA
"269","11NS",2019,1,1.90538582676335,NA
"270","11NS",2019,2,1.84329323392165,NA
"271","11NS",2019,3,73.209457799008,NA
"272","11NS",2019,4,32.630161887721,NA
"273","11NS",2019,5,117.390310588636,NA
"274","11NS",2019,6,64.9272842407227,NA
"275","11NS",2019,7,31.3069922798558,NA
"276","11NS",2019,8,4.66859466151187,NA
"277","11NS",2019,9,16.4849128723145,NA
"278","11NS",2019,10,13.0134628195512,NA
"279","11NS",2019,11,13.8795590149729,NA
"280","11NS",2019,12,15.0596945913214,NA
"281","11NS",2020,1,0,NA
"282","11NS",2020,2,8.43117568367406,NA
"283","11NS",2020,3,41.7765828182823,NA
"284","11NS",2020,4,17.1010765276457,NA
"285","11NS",2020,5,56.5219680384586,NA
"286","11NS",2020,6,63.4713365655196,NA
"287","11NS",2020,7,27.7393072027909,NA
"288","11NS",2020,8,17.1680182406777,NA
"289","11NS",2020,9,9.47766645331132,NA
"290","11NS",2020,10,2.6209767931386,NA
"291","11NS",2020,11,7.11199998855591,NA
"292","11NS",2020,12,10.4063782942922,NA
"293","11NS",2021,1,13.5551348234478,NA
"294","11NS",2021,2,20.5316381956402,NA
"295","11NS",2021,3,61.6461657473915,NA
"296","11NS",2021,4,54.5940967359041,NA
"297","11NS",2021,5,83.6375836824116,NA
"298","11NS",2021,6,41.5850544979698,NA
"299","11NS",2021,7,26.9852086117393,NA
"300","11NS",2021,8,23.0096198634097,NA
"301","11NS",2021,9,8.66567285437333,NA
"302","11NS",2021,10,5.83945728603162,NA
"303","11NS",2021,11,14.1174011230469,NA
"304","11NS",2021,12,3.25345772191098,NA
"305","11NS",2022,1,18.6262803328665,NA
"306","11NS",2022,2,10.1475325132671,NA
"307","11NS",2022,3,19.4808377717671,NA
"308","11NS",2022,4,3.235461184853,NA
"309","11NS",2022,5,59.9260191666453,NA
"310","11NS",2022,6,9.56755326923571,NA
"311","11NS",2022,7,66.9729337190327,NA
"312","11NS",2022,8,22.4093576732435,NA
"313","11NS",2022,9,24.8571477187307,NA
"314","11NS",2023,5,70.1611609207956,NA
"315","11NS",2023,6,125.973518773129,NA
"316","11NS",2023,7,106.327731483861,NA
"317","11NS",2023,8,78.7446321186266,NA
"318","11NS",2023,9,16.0724898388511,NA
"319","11NW",2010,5,79.0173543294271,NA
"320","11NW",2011,5,82.1590855916341,NA
"321","11NW",2012,5,18.4415613810221,NA
"322","11NW",2013,5,47.7412444220649,NA
"323","11NW",2014,5,44.8602536519369,NA
"324","11NW",2015,5,145.835698445638,NA
"325","11NW",2016,5,31.3909509446886,NA
"326","11NW",2017,5,87.8232362535265,NA
"327","11NW",2018,5,110.844662136502,NA
"328","11NW",2010,6,47.9617309570312,NA
"329","11NW",2011,6,32.1769994099935,NA
"330","11NW",2012,6,9.48584016164144,NA
"331","11NW",2013,6,5.39097897211711,NA
"332","11NW",2014,6,87.2092776828342,NA
"333","11NW",2015,6,57.0933977762858,NA
"334","11NW",2016,6,28.202522277832,NA
"335","11NW",2017,6,7.13223785824246,NA
"336","11NW",2018,6,22.4395391676161,NA
"337","11NW",2010,7,42.4101274278429,NA
"338","11NW",2011,7,65.287954542372,NA
